EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,35,32,29,22,19,16,75,61,47,30.24,30.18,30.12,10,10,10,23,13,30,T,7,Snow,260
2016-1-2,36,31,26,22,20,18,75,66,56,30.18,30.11,29.97,10,10,10,17,8,22,0.00,6,,241
2016-1-3,34,31,28,26,23,19,85,73,61,30.09,29.99,29.89,10,9,2,17,11,25,0.01,7,Snow,271
2016-1-4,28,20,12,21,12,3,81,63,45,30.57,30.27,30.02,10,9,1,26,13,31,0.03,6,Snow,341
2016-1-5,27,17,7,7,4,1,80,59,37,30.73,30.65,30.57,10,10,10,9,3,12,0.00,0,,116
2016-1-6,41,26,10,13,8,4,84,52,20,30.56,30.47,30.35,10,10,10,10,1,13,0.00,4,,188
2016-1-7,47,32,16,19,13,9,77,49,21,30.34,30.26,30.16,10,10,9,8,2,10,0.00,2,,114
2016-1-8,41,32,22,39,27,14,100,74,48,30.14,30.02,29.93,10,7,2,9,3,11,0.28,7,Rain,134
2016-1-9,54,47,39,43,41,38,100,83,66,30.01,29.93,29.74,10,10,7,17,7,24,0.05,6,Fog-Rain,147
2016-1-10,48,34,19,44,32,7,100,79,57,29.96,29.59,29.35,10,8,1,36,16,50,0.49,8,Rain-Snow,236
2016-1-11,22,18,13,12,6,3,73,59,45,30.14,30.07,29.92,10,10,6,22,10,30,0.01,6,Snow,238
2016-1-12,31,22,12,25,17,4,92,75,57,30.09,29.81,29.62,10,4,0,31,15,38,0.23,8,Snow,245
2016-1-13,19,11,3,11,2,-2,86,66,46,30.24,30.12,29.91,10,8,1,18,9,25,T,5,Snow,222
2016-1-14,43,31,19,30,21,10,70,60,49,29.98,29.92,29.86,10,10,9,16,8,22,T,7,Snow,214
2016-1-15,49,43,36,38,28,23,92,64,36,29.86,29.68,29.45,10,10,5,16,7,23,0.12,7,Rain,177
2016-1-16,41,36,30,39,31,22,93,81,69,29.92,29.68,29.42,10,8,2,21,11,26,0.03,8,Snow,268
2016-1-17,30,20,9,24,18,-2,85,74,62,30.02,29.86,29.76,10,7,0,28,10,34,0.05,8,Snow,277
2016-1-18,13,9,5,4,-2,-6,80,68,55,30.29,30.16,30.04,10,9,2,22,13,30,T,7,Snow,261
2016-1-19,18,12,5,4,1,-3,80,67,53,30.52,30.43,30.28,10,10,7,18,8,24,T,3,Snow,264
2016-1-20,19,12,4,14,8,1,84,73,61,30.49,30.30,30.08,10,7,1,14,3,16,0.06,7,Snow,320
2016-1-21,22,16,10,13,10,7,92,77,62,30.43,30.35,30.21,10,8,2,12,5,13,T,6,Snow,279
2016-1-22,23,17,10,15,12,7,88,78,68,30.35,30.17,29.97,10,6,1,18,8,24,0.36,8,Snow,58
2016-1-23,29,21,12,16,13,9,84,69,53,30.10,29.97,29.85,10,6,1,21,12,26,0.10,7,Snow,347
2016-1-24,28,18,7,15,11,4,92,71,50,30.24,30.16,30.09,10,10,3,15,5,19,T,5,Snow,216
2016-1-25,44,30,15,20,15,11,80,57,33,30.22,30.14,29.98,10,10,10,13,5,16,T,6,Rain,164
2016-1-26,50,41,32,39,31,17,76,63,49,30.12,29.98,29.88,10,10,9,24,13,34,T,8,Rain,234
