"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","UNIQUE_CARRIER","AIRLINE_ID","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_SEQ_ID","ORIGIN","DEST_AIRPORT_SEQ_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME","NA_DELAY","DEST_LONGITUDE","DEST_LATITUDE"
2016,1,1,1,5,"WN",19393,"N260WN",3339,1412202,"PIT",1125903,"DAL",600,559,-1,0,0,-1,"0600-0659",29,628,819,3,815,822,7,7,0,0,"0800-0859",0,"",0,195,203,171,1060,5,0,0,0,0,0,559,0,0,0,2016,2016
2016,1,1,2,6,"DL",19790,"N343NW",2200,1412202,"PIT",1348702,"MSP",640,652,12,12,0,0,"0600-0659",9,701,750,3,813,753,-20,0,0,-2,"0800-0859",0,"",0,153,121,109,726,3,0,0,0,0,0,652,0,0,12,2016,2016
2016,1,1,2,6,"DL",19790,"N938DL",2494,1412202,"PIT",1143302,"DTW",629,639,10,10,0,0,"0600-0659",17,656,746,10,745,756,11,11,0,0,"0700-0759",0,"",0,76,77,50,201,1,0,0,0,0,0,639,0,0,10,2016,2016
2016,1,1,2,6,"EV",20366,"N22909",4232,1412202,"PIT",1161802,"EWR",1124,1127,3,3,0,0,"1100-1159",10,1137,1238,12,1259,1250,-9,0,0,-1,"1200-1259",0,"",0,95,83,61,319,2,0,0,0,0,0,1127,0,0,3,2016,2016
2016,1,1,2,6,"EV",20366,"N15912",4453,1412202,"PIT",1161802,"EWR",1254,1308,14,14,0,0,"1200-1259",14,1322,1415,7,1429,1422,-7,0,0,-1,"1400-1459",0,"",0,95,74,53,319,2,0,0,0,0,0,1308,0,0,14,2016,2016
2016,1,1,2,6,"AA",19805,"N469AA",1252,1412202,"PIT",1129804,"DFW",1237,1233,-4,0,0,-1,"1200-1259",11,1244,1422,6,1455,1428,-27,0,0,-2,"1400-1459",0,"",0,198,175,158,1067,5,0,0,0,0,0,1233,0,0,0,2016,2016
2016,1,1,2,6,"AA",19805,"N945UW",616,1412202,"PIT",1295302,"LGA",620,614,-6,0,0,-1,"0600-0659",13,627,722,25,754,747,-7,0,0,-1,"0700-0759",0,"",0,94,93,55,335,2,0,0,0,0,0,614,0,0,0,2016,2016
2016,1,1,2,6,"AA",19805,"N744P",625,1412202,"PIT",1410702,"PHX",659,657,-2,0,0,-1,"0600-0659",8,705,912,46,953,958,5,5,0,0,"0900-0959",0,"",0,294,301,247,1814,8,0,0,0,0,0,657,0,0,0,2016,2016
2016,1,1,2,6,"AA",19805,"N963UW",2024,1412202,"PIT",1410002,"PHL",905,857,-8,0,0,-1,"0900-0959",10,907,951,11,1021,1002,-19,0,0,-2,"1000-1059",0,"",0,76,65,44,268,2,0,0,0,0,0,857,0,0,0,2016,2016
2016,1,1,2,6,"AA",19805,"N747UW",2049,1412202,"PIT",1105703,"CLT",515,510,-5,0,0,-1,"0001-0559",13,523,623,9,648,632,-16,0,0,-2,"0600-0659",0,"",0,93,82,60,366,2,0,0,0,0,0,510,0,0,0,2016,2016
