"","x"
"1",61.7666666666667
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",79.8
"8",NA
"9",NA
"10",75.375
"11",NA
"12",NA
"13",NA
"14",88.625
"15",62.1111111111111
"16",60.9027777777778
"17",NA
"18",90.2
"19",NA
"20",82.2
"21",NA
"22",NA
"23",NA
"24",64.25
"25",79.6041666666667
"26",75.375
"27",NA
"28",NA
"29",NA
"30",62.1111111111111
"31",NA
"32",60.9027777777778
"33",NA
"34",86.7916666666667
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",64.25
"42",75.375
"43",NA
"44",NA
"45",85.9375
"46",NA
"47",NA
"48",62.1111111111111
"49",60.9027777777778
"50",NA
"51",NA
"52",NA
"53",61.7666666666667
"54",NA
"55",NA
"56",NA
"57",NA
"58",80.9583333333333
"59",NA
"60",64.25
"61",NA
"62",NA
"63",79
"64",NA
"65",69.8611111111111
"66",NA
"67",NA
"68",62.1111111111111
"69",NA
"70",NA
"71",NA
"72",61.7666666666667
"73",62.9583333333333
"74",NA
"75",80.9583333333333
"76",NA
"77",NA
"78",NA
"79",NA
"80",77.6206896551724
"81",NA
"82",NA
"83",73.3666666666667
"84",NA
"85",NA
"86",62.5833333333333
"87",94.6153846153846
"88",NA
"89",85.5833333333333
"90",NA
"91",NA
"92",NA
"93",85.4507042253521
"94",NA
"95",NA
"96",97.375
"97",NA
"98",92.5625
"99",NA
"100",73.3666666666667
"101",NA
"102",62.5833333333333
"103",NA
"104",NA
"105",85.5833333333333
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",94.6153846153846
"119",NA
"120",NA
"121",NA
"122",NA
"123",82.5633802816901
"124",NA
"125",85.4507042253521
"126",NA
"127",97.375
"128",77.6206896551724
"129",NA
"130",NA
"131",73.3666666666667
"132",92.5625
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",77.6206896551724
"141",97.375
"142",NA
"143",77.9166666666667
"144",81.625
"145",58.2
"146",NA
"147",88.2916666666667
"148",NA
"149",NA
"150",NA
"151",88.7446808510638
"152",NA
"153",91.2361111111111
"154",NA
"155",96.3125
"156",NA
"157",NA
"158",82.887323943662
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",88.2916666666667
"165",NA
"166",NA
"167",83.6142857142857
"168",88.7446808510638
"169",NA
"170",NA
"171",NA
"172",NA
"173",82.887323943662
"174",81.625
"175",NA
"176",NA
"177",NA
"178",NA
"179",80.1458333333333
"180",NA
"181",NA
"182",88.7446808510638
"183",83.6142857142857
"184",91.2361111111111
"185",NA
"186",NA
"187",NA
"188",NA
"189",96.3125
"190",NA
"191",87.4375
"192",NA
"193",81.625
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",91.8205128205128
"201",91.2361111111111
"202",NA
"203",68.375
"204",66.2
"205",NA
"206",82.887323943662
"207",NA
"208",NA
"209",81.625
"210",77.9166666666667
"211",NA
"212",NA
"213",81.7708333333333
"214",NA
"215",72.0208333333333
"216",NA
"217",NA
"218",NA
"219",NA
"220",66.3333333333333
"221",NA
