"","x"
"1",16.947619047619
"2",16.947619047619
"3",25.225
"4",25.225
"5",30.0125
"6",30.0125
"7",30.0125
"8",31.0222222222222
"9",31.0222222222222
"10",31.0222222222222
"11",30.296
"12",30.296
"13",31.55
"14",31.55
"15",31.55
"16",23.0933333333333
"17",23.0933333333333
"18",23.0933333333333
"19",16.947619047619
"20",16.947619047619
"21",25.225
"22",25.225
"23",30.0125
"24",30.0125
"25",30.0125
"26",31.0222222222222
"27",31.0222222222222
"28",30.296
"29",30.296
"30",31.55
"31",31.55
"32",23.0933333333333
"33",23.0933333333333
"34",23.0933333333333
"35",23.0933333333333
"36",16.947619047619
"37",25.225
"38",25.225
"39",25.225
"40",30.0125
"41",30.0125
"42",31.0222222222222
"43",31.0222222222222
"44",30.296
"45",30.296
"46",31.55
"47",31.55
"48",31.55
"49",23.0933333333333
"50",23.0933333333333
"51",23.0933333333333
"52",23.0933333333333
"53",16.947619047619
"54",16.947619047619
"55",16.947619047619
"56",16.947619047619
"57",25.225
"58",25.225
"59",30.0125
"60",30.0125
"61",30.0125
"62",31.0222222222222
"63",31.0222222222222
"64",30.296
"65",30.296
"66",30.296
"67",31.55
"68",31.55
"69",31.55
"70",23.0933333333333
"71",16.947619047619
"72",16.947619047619
"73",25.225
"74",25.225
"75",25.225
"76",30.0125
"77",30.0125
"78",30.0125
"79",44.3636363636364
"80",44.3636363636364
"81",44.3636363636364
"82",38.6666666666667
"83",52.9125
"84",52.9125
"85",35.7
"86",35.7
"87",35.7
"88",28.8366666666667
"89",28.8366666666667
"90",28.8366666666667
"91",34.2583333333333
"92",34.2583333333333
"93",36.75
"94",36.75
"95",44.3636363636364
"96",44.3636363636364
"97",38.6666666666667
"98",52.9125
"99",52.9125
"100",52.9125
"101",35.7
"102",35.7
"103",35.7
"104",28.8366666666667
"105",28.8366666666667
"106",28.8366666666667
"107",34.2583333333333
"108",36.75
"109",36.75
"110",36.75
"111",36.75
"112",44.3636363636364
"113",44.3636363636364
"114",38.6666666666667
"115",38.6666666666667
"116",52.9125
"117",35.7
"118",35.7
"119",28.8366666666667
"120",28.8366666666667
"121",28.8366666666667
"122",34.2583333333333
"123",34.2583333333333
"124",36.75
"125",36.75
"126",44.3636363636364
"127",44.3636363636364
"128",44.3636363636364
"129",38.6666666666667
"130",52.9125
"131",52.9125
"132",52.9125
"133",35.7
"134",28.8366666666667
"135",28.8366666666667
"136",34.2583333333333
"137",34.2583333333333
"138",36.75
"139",44.3636363636364
"140",44.3636363636364
"141",44.3636363636364
"142",27.8034482758621
"143",27.8034482758621
"144",27.8034482758621
"145",27.8034482758621
"146",27.8758620689655
"147",30.7297297297297
"148",30.7297297297297
"149",34.5071428571429
"150",34.5071428571429
"151",34.5071428571429
"152",34.5071428571429
"153",35.6214285714286
"154",35.6214285714286
"155",49.9875
"156",49.9875
"157",49.9875
"158",48.0607142857143
"159",48.0607142857143
"160",27.8034482758621
"161",27.8758620689655
"162",27.8758620689655
"163",27.8758620689655
"164",30.7297297297297
"165",30.7297297297297
"166",34.5071428571429
"167",34.5071428571429
"168",34.5071428571429
"169",34.5071428571429
"170",34.5071428571429
"171",35.6214285714286
"172",48.0607142857143
"173",48.0607142857143
"174",27.8034482758621
"175",27.8034482758621
"176",27.8758620689655
"177",27.8758620689655
"178",30.7297297297297
"179",30.7297297297297
"180",34.5071428571429
"181",34.5071428571429
"182",34.5071428571429
"183",34.5071428571429
"184",35.6214285714286
"185",35.6214285714286
"186",35.6214285714286
"187",35.6214285714286
"188",49.9875
"189",49.9875
"190",48.0607142857143
"191",48.0607142857143
"192",27.8034482758621
"193",27.8034482758621
"194",27.8758620689655
"195",30.7297297297297
"196",30.7297297297297
"197",34.5071428571429
"198",34.5071428571429
"199",35.6214285714286
"200",35.6214285714286
"201",35.6214285714286
"202",49.9875
"203",49.9875
"204",49.9875
"205",48.0607142857143
"206",48.0607142857143
"207",48.0607142857143
"208",27.8034482758621
"209",27.8034482758621
"210",27.8034482758621
"211",27.8034482758621
"212",27.8758620689655
"213",27.8758620689655
"214",30.7297297297297
"215",31.1153846153846
"216",31.1153846153846
"217",47.5416666666667
"218",44.6575757575758
"219",44.6575757575758
"220",44.6575757575758
"221",58.075
"222",58.075
"223",58.075
"224",41.553125
"225",41.553125
"226",41.553125
"227",34.92
"228",34.92
"229",34.92
"230",43.1620689655172
"231",43.1620689655172
"232",43.1620689655172
"233",31.1153846153846
"234",47.5416666666667
"235",47.5416666666667
"236",44.6575757575758
"237",44.6575757575758
"238",58.075
"239",58.075
"240",34.92
"241",34.92
"242",43.1620689655172
"243",43.1620689655172
"244",31.1153846153846
"245",47.5416666666667
"246",44.6575757575758
"247",44.6575757575758
